iter	RMSE
0	14.92094154
1	14.48407417
2	13.98124786
3	13.53983886
4	13.15192086
5	12.76807609
6	12.42062089
7	12.06338654
8	11.7791723
9	11.43354128
10	11.11283757
11	10.8210835
12	10.55734717
13	10.30570095
14	10.05654955
15	9.802352321
16	9.57418515
17	9.35278412
18	9.136749678
19	8.911840193
20	8.726776029
21	8.545924842
22	8.361575593
23	8.18484739
24	8.035484178
25	7.871385646
26	7.730962786
27	7.587850593
28	7.453132038
29	7.332153141
30	7.221588206
31	7.111369259
32	7.011663119
33	6.916705345
34	6.829469339
35	6.739618165
36	6.643941011
37	6.555235075
38	6.475500506
39	6.411250697
40	6.336655447
41	6.268353845
42	6.198262474
43	6.135330947
44	6.084732813
45	6.029832716
46	5.976180103
47	5.924996445
48	5.872085067
49	5.821593366
50	5.772344876
51	5.727211439
52	5.689092438
53	5.651588414
54	5.61265983
55	5.57529496
56	5.540058125
57	5.507710656
58	5.476202486
59	5.45313755
60	5.423652081
61	5.398723576
62	5.373724009
63	5.347963162
64	5.321137773
65	5.297110031
66	5.273575605
67	5.252215563
68	5.225641908
69	5.203019459
70	5.186743537
71	5.170663433
72	5.152975861
73	5.135616449
74	5.114550698
75	5.098711198
76	5.086116702
77	5.071513491
78	5.056450375
79	5.036131423
80	5.022716288
81	5.00457158
82	4.986692278
83	4.970947083
84	4.966913861
85	4.952774833
86	4.939754462
87	4.927536089
88	4.912501602
89	4.896536444
90	4.886229275
91	4.876414099
92	4.863266804
93	4.851676825
94	4.84198331
95	4.832403181
96	4.817388673
97	4.810205085
98	4.807832762
99	4.801394342
