iter	Passed	Remaining
0	231	231442
1	232	116161
2	233	77725
3	234	58456
4	235	46941
5	237	39269
6	237	33752
7	239	29653
8	240	26453
9	241	23896
10	242	21803
11	243	20062
12	245	18607
13	246	17337
14	247	16236
15	248	15266
16	249	14414
17	252	13789
18	254	13141
19	256	12552
20	260	12136
21	261	11639
22	263	11177
23	264	10749
24	265	10355
25	266	9986
26	267	9651
27	268	9337
28	270	9042
29	271	8767
30	272	8512
31	273	8281
32	274	8057
33	275	7839
34	277	7639
35	278	7449
36	279	7267
37	280	7098
38	281	6936
39	282	6781
40	283	6634
41	284	6494
42	285	6361
43	286	6235
44	288	6128
45	290	6020
46	291	5908
47	292	5799
48	293	5694
49	294	5593
50	296	5513
51	297	5426
52	299	5345
53	300	5261
54	301	5178
55	302	5107
56	304	5038
57	305	4969
58	306	4895
59	307	4824
60	308	4755
61	309	4688
62	310	4623
63	311	4559
64	312	4497
65	313	4437
66	314	4378
67	315	4322
68	318	4292
69	320	4252
70	321	4207
71	322	4158
72	323	4109
73	324	4064
74	325	4019
75	327	3975
76	327	3931
77	328	3887
78	329	3844
79	330	3803
80	333	3789
81	335	3760
82	337	3726
83	338	3689
84	339	3651
85	340	3615
86	341	3579
87	341	3544
88	342	3510
89	343	3476
90	344	3444
91	345	3411
92	347	3392
93	349	3372
94	351	3345
95	352	3319
96	353	3290
97	354	3260
98	355	3232
99	356	3205
100	357	3177
101	357	3151
102	358	3125
103	359	3099
104	360	3076
105	363	3069
106	365	3050
107	366	3030
108	367	3007
109	368	2984
110	369	2961
111	370	2938
112	371	2916
113	372	2894
114	373	2872
115	374	2851
116	375	2830
117	377	2824
118	379	2809
119	380	2793
120	382	2776
121	383	2756
122	384	2738
123	384	2719
124	385	2700
125	386	2682
126	387	2664
127	388	2646
128	389	2629
129	390	2611
130	393	2611
131	395	2601
132	396	2585
133	397	2569
134	398	2556
135	399	2541
136	400	2522
137	401	2507
138	402	2491
139	403	2476
140	404	2461
141	405	2447
142	408	2445
143	409	2435
144	410	2423
145	411	2409
146	412	2395
147	413	2381
148	414	2367
149	415	2354
150	416	2341
151	417	2328
152	418	2315
153	419	2302
154	419	2289
155	421	2282
156	424	2277
157	425	2267
158	426	2256
159	427	2244
160	428	2233
161	429	2223
162	430	2212
163	431	2201
164	433	2192
165	434	2183
166	436	2178
167	438	2169
168	439	2158
169	439	2148
170	440	2137
171	441	2126
172	442	2116
173	443	2105
174	444	2095
175	445	2085
176	446	2075
177	447	2065
178	448	2055
179	449	2047
180	451	2043
181	452	2035
182	454	2027
183	455	2019
184	456	2011
185	457	2002
186	458	1994
187	459	1986
188	461	1978
189	462	1970
190	463	1963
191	465	1959
192	466	1950
193	467	1942
194	468	1933
195	469	1925
196	470	1917
197	471	1908
198	472	1900
199	473	1893
200	474	1886
201	475	1878
202	476	1870
203	477	1862
204	478	1854
205	479	1848
206	481	1843
207	482	1836
208	483	1829
209	484	1821
210	485	1813
211	485	1806
212	486	1798
213	487	1791
